translated_title,translated_description,image,category,subcategory,
Whole Grain Wickbold Bread Multigrain Flavor 450 g,"Exclusive combination of Wickbold, this bread is made with seeds and whole nuts. Chia seeds are rich in antioxidants and macadamia stands out for containing fats that bring several health benefits. Wickbold is a Brazilian bread and food manufacturing company. Since 1938 he has been making whole grain breads in a small family business. The company produces breads, panettone and food in general.",https://images.rappi.com.br/products/2090302313-1529031071.png,bakery,breads,
Gillette Mach3 Turbo 2 Shaver Charger,Gillette Mach3 Turbo 2 Shaver Charger,https://images.rappi.com.br/products/2096793432-1579286317234.png,electro beauty,shavers,
Past Tom. La Castellina 700 g,Past Tom. La Castellina 700 g,https://images.rappi.com.br/products/2094092747-1585841077889.png,seasonings,ketchup,
Kids Shampoo Kit Cars,"The Kit Shampoo + Shampoo 2 in 1 Cars, has formula with extract of cereals and proteins, perfect for the delicate hair of children. Cleans without damaging the strands and restores damaged strands, keeping them soft and shiny. Dermatologically tested, it can be used daily without risk of irritating the eyes. The 2x1 shampoo already has conditioner in its composition. Suitable for children from 2 years.",https://images.rappi.com.br/products/2092492891_15.png,games,toys,
Nutry Cereal Bar 22G,Nutry Cereal Bar 22G,,snacks and confectionery,cereal bars and granola,
Est (Gel Ducha-Crema-Exfol-Frag Spa Luxury Marca Exclusiva 1 and,Est (Gel Ducha-Crema-Exfol-Frag Spa Luxury Marca Exclusiva 1 and PLU: 1439030,,,,
Novex Treatment Cream 400G Olive Oil,NOVEX TRAT CREAM 400G OLIVE OIL,https://images.rappi.com.br/products/2093072230-1545448465.png,hair care,repair and treatment,
Lion Tea Fuze Ice Tea With Lemon 300 mL,Lion Tea Fuze Ice Tea With Lemon 300 mL,https://images.rappi.com.br/products/2092502036-1580505850701.png,coffees and teas ready to drink,tea ready,
Chalesco Gulliver Gray Transport Case With Wheels,"The Chalesco Gulliver Gray Transport Box with Wheels is an ideal box for transporting your pet when traveling by plane, as it meets IATA&#39;s standard footage requirements. In addition, it is complete and equipped with removable wheels, with safety lock, handles for transport, feeder inside and compartment for small objects and ventilation grids. Take advantage of your Gulliver transport box to help you transport your veterinarian with more comfort. * Consult the rules of the chosen airline for more information about its rules.",https://images.rappi.com.br/products/2093381493-1549571353.png,pet accessories,travel tools,
Novelita Toy Story 3 Sin Marca 1 U,Novelita Toy Story 3 Sin Marca 1 U PLU: 108940,,,,
9Forty A-Frame Trucker California Camouflage Cap,Ref .: Nep20Bon148 / Curved Flap / Structured / Material: Central and Rear Panels 100% Polyester / Front Panels and Flap 100% Cotton / Adjustable / Imported / Official License,https://images.rappi.com.br/products/2098234811-1589549651649.png,accessories men,accessories men,
Glimepirida Mk,"Glimepiride 4 Mg (Glimepiride), 15 Unit (s)",https://images.rappi.com/products/1010640-1-1464285988.png,other drugs,other drugs,
Tintura Nutrisse 677 Kit,Tintura Nutrisse 677 Kit,https://images.rappi.com.br/products/2094525843-1565291538.png,hair care,coloration,
Polypropylene Reading Lantern N Daiso 1 Und,Polypropylene Reading Lantern N Daiso 1 Und,https://images.rappi.com.br/products/2093984519-1588016537405.jpg,lighting and electrical,lighting and electrical,
Small Clean Sponge Vegetable Cloth,Pano Vegetable Sponge Limppano Small - 1 UN,,bathrooms,bathrooms,
Vcy Dermablend Base Fluida Facial 55,"Vichy Dermablend Facial Fluid Base SPF35 Nº55 Active Principle: None MS Record: - Vichy Dermablend Fluid Base Color 55 SPF 35 high coverage without mask effect. Matifying effect. Hydration 24 hours. Ideal to uniform texture, correct dark circles and irregular tones. Ideal for all skin types. Weight: 52 gr - Dosage: - Manufactures: None - Brand: Vichy (Key Words: Promotions, Featured offers, Up to 30% off)",https://images.rappi.com.br/products/2093390793-1562133358255.png,makeup,face makeup,
Tall Stockings,Stockings Leggins Control Black - PLU: 570244,https://images.rappi.com/products/570244-1-1476206441.png,woman cloth,woman cloth,
"Lipstick Who Said, Berenice? Matte Vermelito 1 Und","Liquid Lipstick Who Said, Berenice? Mate Vermeli Active Principle: None MS Record: - Liquid Lipstick Who Said, Berenice? Mate Chocolili is a long-lasting matte liquid lipstick. Offers high coverage with a super matte finish, does not run or transfer. Weight: 17 gr - Dosage: - Manufactures: Multi B - QDB - Brand: QDB (Key Words: Your Beauty, Makeup, Lipstick)",https://images.rappi.com.br/products/2093943818-1555365455.png,makeup,lip makeup,
Enamel Risk Strengthening Base Orchid Oil N 8 mL,"Risque Enamel Base Strengthening Orchid Oil N 8 mL. (Key Words: Nail Polish, Nail Polish, Nails, Risque)",https://images.rappi.com.br/products/2094246746-1559768101.png,makeup,makeup nails,
Brush With Bristle And Plastic Cable Daiso 1 Und,Brush With Bristle And Plastic Cable Daiso 1 Und,https://images.rappi.com.br/products/2093985983-1590774298647.jpg,beauty accessories,"tweezers, brushes and profilers",
Chicken,"Bread, chicken fillet, cheese, ham, tomato and lettuce.",,,,
Pinho Sol Original Light Disinfectant Pay 900 mL 1000 mL,Pinho Sol Original Light Disinfectant Pay 900 mL 1000 mL,https://images.rappi.com.br/products/2094098635-1568657799636.png,fresheners and candles,disinfectants environment,
Medium Brush For Varnish And Stain,With natural bristles the brush is super practical and suitable for wooden surfaces. I have anatomical cable of high resistance.,https://images.rappi.com.br/products/2094296159-1560365271.png,hardware store,hardware store,
Gran Reserve Blue Range Parmesan Cheese,Gran Reserva Parmesan Blue Range Cheese (The price of this product may vary according to weight.) (Key Words: Cheese / Dairy),https://images.rappi.com.br/products/2093191209-1549905706.jpg,cheese,cheeses soft and hard,
Crispy Chicken Nuggets 300 g,Made 100% chicken breast.,https://images.rappi.com.br/products/2097501383-1590185647342.png,other frozen foods,other frozen foods,
Or Gano Vaso Horta Em C,Or Gano Vaso Horta Em Casa .Un.,,,,
Sweet Point Baba Moça Cake,Bolo Moca Sweet Point,https://images.rappi.com.br/products/2089930383-1583352762994.jpg,bakery,cakes and ponques,
Ice Cream Olé Lata 600 g,Ice Cream Olé Lata 600 g,https://images.rappi.com.br/products/2095334964-1570481985469.png,ice cream and desserts,ice creams,
Biscoito Marilan Pit Stop 168 g,Biscoito Marilan Pit Stop 168 g,https://images.rappi.com.br/products/2093807865-1553880590.png,snacks and confectionery,cookies,
Russian Imperial Stout Loba Beer 330 ml,Russian Imperial Stout Loba Beer 330 ml,https://images.rappi.com.br/products/2090301014-1527635567.png,beers and ciders,beers,
Kit Roc Minesol Protetor Solar Facial Oil FPS 30 50g 2 Und,"Roc Minesol Kit Sunscreen Facial Oil SPF 30 50g 2 Pcs. (Key Words: Beach, Sunscreen, Sun, Sun Protection, Sunscreen Spray)",https://images.rappi.com.br/products/2094088695-1557330269.png,skin care,solar protection,
Farnese Red Fruits Soap 90 g,Farnese Red Fruits Soap 90 g,https://images.rappi.com.br/products/2096656397-1578679706329.png,hygiene and care,shampoo and soap,
Neutrogena Deep Clean Cleansing Gel Mixed To Oily 150 g,"Neutrogena Deep Clean Cleansing Gel Mixed To Oily 150 g. (Key Words: Health, Pimple, Skin Care, Face Care, Acne, Anti-acne, Concealer, Makeup Remover, Makeup Remover, Makeup Remover)",https://images.rappi.com.br/products/2095680978-1579562260211.png,skin care,anti acne care,
Japanese Drain Nedo Pia 1/3 Stainless,Japanese Drain Nedo Pia 1/3 Stainless,https://images.rappi.com.br/products/2096593423-1578401774925.png,kitchen,kitchen,
Carrot Cupcake,Carrot Cupcake - PLU: 580625,https://images.rappi.com/products/580625-1588314133157.png,bakery,sweet bakery,
Escova Dental Close Up Ultra Reach Med,Escova Dental Close Up Ultra Reach Med,https://images.rappi.com.br/products/2093101995-1544970674.png,oral care,tooth-brushes,
150 g Chicken Fillet Without Raisins Sandwich,150 g Chicken Fillet Without Raisins Sandwich,https://images.rappi.com.br/products/2093949928-1555420845.png,sandwiches and empanadas,sandwiches and empanadas,
Snacks Fabitos Barbecue,Snacks Fabitos Barbecue,https://images.rappi.com.br/products/2095572922-1574432899756.png,snacks and confectionery,savory snacks,
Abandonment,"Meg Cabot, the queen of teenagers, recreates the myth of Persephone, lady of the underworld, in a new trilogy. Since Pierce Oliviera drowned in his home pool and had a near-death experience, his life has changed. Two years later, expelled from her old school and without friends, she just wants to start all over again - and her mother seems to believe that taking her to Isla Huesos, the place where she was born and raised, is the solution to all of her daughter&#39;s problems. After all, a 17 year old girl needs some normality, doesn&#39;t she? What nobody knows is that Pierce met the mysterious John in the world of the dead, and now the boy doesn&#39;t leave her alone ...",https://images.rappi.com.br/products/2092706238-1539897099.png,,,
Tek Dura Toothbrush,Tek Dura Toothbrush,https://images.rappi.com.br/products/2095447689-1579561244244.png,oral care,tooth-brushes,
Pantene Extreme Brightness Shampoo 200 mL,Pantene Extreme Brightness Shampoo 200 mL,https://images.rappi.com.br/products/2096802048-1579290224912.png,hair care,shampoo,
Dragon Ball Super Vol. 3,Dragon Ball Super Vol. 3,https://images.rappi.com.br/products/2095420921-1571153591361.png,paper books,paper books,
Iana Amazon Ethyl Alcohol 70% 100 mL,Iana Amazon Ethyl Alcohol 70% 100 mL,,and first aid kit,alcohol,
Karpex Carpet Cleaner 500 mL,Karpex Carpet Cleaner 500 mL,https://images.rappi.com.br/products/2096700388-1578670296642.png,cleaning,other cleaners,
Freedom - Philosophies: the Pleasure of Thinking,"In this volume, Alexandre Carrasco traces an instigating itinerary, starting with the most common situations in which we speak of freedom. From there, to deepen his reflection, he based on Stoic thinking about freedom and Montaigne&#39;s reading of him. It concludes with a counterpoint between Sartre and Merleau-Ponty.",https://images.rappi.com.br/products/2092756824-1540783661.png,paper books,paper books,
Deodorant Roll On Body To Body Smooth 50 mL,Deodorant Roll On Body To Body Smooth 50 mL,https://images.rappi.com.br/products/2096605501-1580938797899.png,deodorants,deodorants,
Profuse Dry Touch Oil Control SPF 30 60 g,"Profuse Ensolei Dry Touch FPS30 Sunscreen Active Principle: None MS Record: - Profuse Ensolei Dry Touch FPS30 Sunscreen has exclusive Oil Control Push-Pull technology, which offers oil balance without rebound effect, preventing overproduction of sebum and without obstructing pores due to excess matifying effect. Weight: 85 gr - Dosage: - Manufactures: None - Brand: Profuse (Key Words: Your Beauty, Skin Care, Sunscreen)",https://images.rappi.com.br/products/2094154746-1558031359.png,skin care,solar protection,
Calca Core Tracks Logoman Nba,Calca Core Tracks Logoman Nba,https://images.rappi.com.br/products/2098233994-1589548551123.png,men clothes,men clothes,
Finish Dishwasher Detergent 1 Kg,Finish Dishwasher Powder Detergent 1 kg - Prices including VAT,https://images.rappi.com.mx/products/975078532-1493871244.png,dishwashing detergent,dishwashing detergent,
Chocolate Actigen Nescau 3.0 380g,"Chocolate Nescau 3.0 with 33% less sugars and more fibers, the same delicious Nescau flavor. With Activ-Go®, exclusive combination of nutrients such as calcium, iron, vitamins A, C, D and B vitamins, ideal for a balanced diet. A delight for breakfast or an afternoon snack, and also in the preparation of various desserts. (Key Words: chocolate powder)",https://images.rappi.com.br/products/2092916441-1542229323.png,"coffee, tea and milk modifiers",chocolate,
Black Ppx Polyester Necklace,Black Ppx Polyester Necklace,,unisex accessories,unisex accessories,
Salonline Sos Vit Vit Treatment Cream 500 mL,Salonline Sos Vit Vit Treatment Cream 500 mL,https://images.rappi.com.br/products/2094802785-1566405387858.png,hair care,repair and treatment,
Dostein,Aulen Pharma Polv Suspension Fco 90 mL,https://images.rappi.com/products/2090270870-1579014889379.jpg,other drugs,other drugs,
Bigfral Moviment Women&#39;s Underwear Size For M 8 Und,Bigfral Moviment Women&#39;s Underwear Size For M 8 Und,https://images.rappi.com.br/products/2094035496-1557253566.png,incontinence protection,underwear,
Chemical Union Mineral Oil 100 mL,"Mineral Oil Active Principle: MINERAL OIL MS record: - Mineral oil is indicated as a laxative in the treatment of functional constipation. Weight: 119 gr - Dosage: - Manufactures: None - Brand: União Química (Key Words: Promotions, Featured Offers, Up to 50% off)",https://images.rappi.com.br/products/2094121484-1557783208.png,digestive health,laxatives,
Chocolate Soja Diet Chocolateosoy 20 g,"Choco Soy Chocolate Active Ingredient: NO CONSTA MS Record: 1000000000000 Choco Soy is a bedside chocolate made from soy. Choco Soy does not contain gluten, free of artificial sweeteners, artificial colors and preservatives. Weight: 20 gr - Dosage: - Manufactures: Olvebra - Brand: Choco Soy (Key Words: Health, Wellness, Functional Foods)",https://images.rappi.com.br/products/2094285334-1560196404.png,snacks and confectionery,chocolate,
Premier Castrated Cat Up to 7 Chicken 500 g,Premier Castrated Cat Up to 7 Chicken 500 g,https://images.rappi.com.br/products/2093631849-1551297596.jpg,pet food,cat food,
Johnsons Body Wash Soap Renewal Nutrition Pomegranate / Grape 200 mL,Johnsons Body Wash Soap Renewal Nutrition Pomegranate / Grape 200 mL,https://images.rappi.com.br/products/2095684701-1579562516620.png,hygiene and care,shampoo and soap,
Ten Good Advice From My Father,"Strict, Manuel was a father attentive to the education of his eldest son, causing João to memorize verses and more verses and to use the dictionary for every word he did not know. Things like: don&#39;t be stupid, don&#39;t be bitter and never be fearful are just some of them. Manuel taught João to love books, the value of study, the desire to always know more and, with this, contributed to the construction of one of the most important authors of Brazilian literature. His good advice and the worldview he left behind his son, are generously shared by the Bahian author.",https://images.rappi.com.br/products/2092733745-1540570253.png,paper books,paper books,
Easter Egg Kinder Masha and the Bear 100G,Easter Egg Kinder Masha and Bear 100G - Milk Choc w / Milk Filling and 1 Surprise,https://images.rappi.com.br/products/2093599659-1585238807975.png,snacks and confectionery,chocolates,
Flogoral 4 Past Orange Find,FLOGORAL 4 PAST ORANGE ACHE,https://images.rappi.com.br/products/2093084151-1559137231.jpg,flu and cough,sore throat,
Edamame,Portion of Green Soy Beans cooked and seasoned only with \ Flor de Sal \ for appetizer. Accompanying suggestion for alcoholic beverages or as a complement to a meal.,,fruits and vegetables,vegetables,
Vigor Yogurt Every Day Coco 540 g,Vigor Yogurt Every Day Coco 540 g,https://images.rappi.com.br/products/2094465988-1575032876748.png,yogurt and dairy drinks,yogurt,
Colored petal napkins 350 pcs,Colored petal napkins 350 pcs,https://images.rappi.com.mx/products/975344782-1530038149.png,pet accessories,other pet accessories,
Zyad Remedy 20 mg 4 Tablets,Zyad Remedy 20 mg 4 Tablets,https://images.rappi.com.br/products/2097386332-1584654680981.png,other drugs,other drugs,
Vodka Balalaika 1 L,Vodka Balalaika 1 L,https://images.rappi.com.br/products/2094033756-1556292607.png,liqueurs and aperitifs,vodkas,
Boligrafo Gel Replay Premium Azul Tj 1pz,Boligrafo Gel Replay Premium Azul Tj 1pz,https://images.rappi.com.mx/products/975769920-1541012186.png,school supplies,school supplies,
Granado White Tea Liquid Soap 300 mL,Granado White Tea Liquid Soap 300 mL,https://images.rappi.com.br/products/2094435646-1562878003993.png,hygiene and care,shampoo and soap,
My Romeo Stories,"Leisa Rayven&#39;s sexiest, most hilarious and passionate couples are back in three unforgettable tales: Cassie and Ethan are engaged and in love like never before. They are going to spend Christmas at the Holts&#39; house and, although Cassie insists on cooking for the occasion, everything else looks perfect. That is until a ghost from the past returns to make them question: is their love even greater than everything? Elissa and Liam have not seen each other for months, each working in a corner of the world. But Liam is preparing an incredible (and sexy!) Surprise for his bride. They are going on a vacation trip, but Elissa still doesn&#39;t know the destination. Once there, the two will have much more surprises than they expected ... Josh and Angel are also far from each other because of work, and he doesn&#39;t know how to deal with the jealousy of seeing her opposite another man. His insecurity makes Josh invest more in his body, and he will show off his new appearance at Marco&#39;s epic New Year&#39;s costume party, where all the Grove folks will be. Until midnight comes, he will realize, dressed as a superhero, that he has superpowers that he never imagined.",https://images.rappi.com.br/products/2092723527-1540308853.png,paper books,paper books,
Maple Honey,Haz De Oros Syrup Light Frasco 340 mL,https://images.rappi.com/products/2090273035-1573766955003.png,cake shop,sauces and toppings,
Set of 12 letter envelopes and daisy sheet,Set of 12 letter envelopes and daisy sheet,https://images.rappi.com.br/products/2092831192-1588016367702.jpg,paper goods,other paper,
Grape Juice Del Valle 100% 300Ml,"Have you ever thought about making your family&#39;s diet much healthier and tastier, but you still don&#39;t know which drink to choose? So, you need to know the best option, the delicious Grape Juice Del Valle 100% Juice 300 ml, from Coca-Cola. In addition to the plastic packaging that does not interfere with the taste, the product stands out for its formula with fruit juice, which guarantees a unique and natural flavor at each meal.",https://images.rappi.com.br/products/2093072163-1580503314207.png,juices and nectars,jugos,
Toothbrush Oral B Indicator 35 Light 2 Pay 1,"Oral B Indicator Dental Brush N ° 35 Active Principle: None MS Record: - Oral-B Indicator Dental Brush has a head with 35 soft bristles that help remove tooth stains, prevents the appearance of caries, plaque formation, tartar and gingivitis. Weight: 43 gr - Dosage: - Manufactures: P&amp;G - Brand: Oral-B (Key Words: Daily Care, Oral Hygiene, Toothbrushes)",https://images.rappi.com.br/products/2093942865-1555365306.png,oral care,tooth-brushes,
Pitaya Strips Tea With Blueberry 30 Pcs,Pitaya Strips Tea With Blueberry 30 Pcs,https://images.rappi.com.br/products/2098327373-1590007244769.png,"coffee, tea and milk modifiers",teas,
Iqf Korin Frozen Chicken Drumstick 1 Kg,Iqf Korin Frozen Chicken Drumstick 1 Kg,https://images.rappi.com.br/products/2094530577-1563997679297.png,meats,chicken and poultry,
Wintomylon Sanofi,Wintomylon Suspension (Nalidixic Acid),https://images.rappi.com/products/1001140-1-1457195983.png,other drugs,other drugs,
Emco Granola Strawberry Peanut 340 g,Emco Granola Strawberry Peanut 340 g,https://images.rappi.com.br/products/2093797195-1583522636498.jpg,snacks and confectionery,nuts and seeds,
TOBLERONE Milk Chocolate 100g,TOBLERONE Milk Chocolate 100g,https://images.rappi.com.br/products/2094170621-1558366607.png,snacks and confectionery,chocolates,
Rattle Sunflower Chicken Pintadinha Elka Yellow And Blue,"The Chocalho da Galinha Pintadinha will accompany the baby at home, on the walk, and wherever you want. Vibrant colors, sound and geometric shapes that stimulate the baby&#39;s sense. Take the chance to take a toy that entertains and teaches at the same time!",https://images.rappi.com.br/products/2094315344-1560964883.jpg,games,toys,
2 u Lavender Glade Stone Sanitary Deodorant 25 g,Glade Lavender Stone Sanitary Deodorizer 25 g (Key Words: Aromatizer),https://images.rappi.com.br/products/2092887942-1568659433515.png,fresheners and candles,fresheners,
Frozen Lamb Burger Vpj 480g,"The VPJ lamb burger has the tasty and tender lamb meat, with the quality of the brand that makes some of the most tasty burgers on the market. VPJ Alimentos has been in the food market since 2004, offering superior quality meats, present in the best points of sale in several Brazilian states and reducing the distance between the creator and the final consumer.",https://images.rappi.com.br/products/2092914990-1543489718.png,other frozen foods,other frozen foods,
Che Guevara - Biographies - Pocket,"&quot;Let us be realistic, let us do the impossible.&quot; Ernesto Che Guevara (1928-1967) is an icon. Images of his face that are both severe and hopeful (based on the famous photograph taken by Cuban Alberto Korda) are widespread in the world, even ingrained in pop culture. But what is hidden behind this portrait, behind the symbol of rebellion and hope? This book proposes to answer that question, following the trajectory of the young Argentine medical student on an initiatic journey through Latin America and the man who joins a revolutionary movement, overthrows the Cuban dictator Fulgencio Batista with Fidel Castro and ends up promote a revolutionary court. Creator of the “work and re-education” camps, Che Guevara held several important positions in the Cuban government. After disappearing from national political life and fighting in Congo, the man who is credited with the phrase &quot;it must be hardened, but without losing tenderness&quot; was summarily executed by the Bolivian army.",https://images.rappi.com.br/products/2092739705-1540329495.png,paper books,paper books,
Pineapple Ades Drink 1L,"Pineapple Ades is a delicious combination of soy protein and natural pineapple juice, which helps to nourish and strengthen the body every day. It is 0% cholesterol and 0% lactose, without preservatives. Source Of Iron And Zinc Minerals And Vitamins C, B2, B3, B6, B12 And Folic Acid.",https://images.rappi.com.br/products/2092922444-1580496751213.png,juices and nectars,jugos,
Whole Grain Wickbold Round Bread 500 g,"A line of whole grain breads that combines the benefits of grains with the taste of the most refined ingredients. Specially designed for those who wish to have a balanced diet without giving up the taste. Available in round or square shapes, Grão Sabor breads can be eaten by the whole family!",https://images.rappi.com.br/products/2090302297-1536581910.png,bakery,breads,
GOURMET HIG SALAD 170G READY,GOURMET HIG SALAD 170G READY,,fruits and vegetables,vegetables,
Protetor Solar Neutrogena Sun Fresh Fps60 200 mL,"Neutrogena Sun Fresh Sun Protection SPF60 200 mL. (Key Words: Beach, Sunscreen, Sun, Sun Protection, Sunscreen Spray)",https://images.rappi.com.br/products/2092643198-1579549387365.png,skin care,solar protection,
All Over Beach Shorts,All Over Beach Shorts,https://images.rappi.com.br/products/2098642144-1591643875152.png,unisex clothing,unisex clothing,
Beef Burritos Nacho Loco,Beef Burritos Nacho Loco,,snacks and confectionery,savory snacks,
Yellow Mustard Hemmer Zero 200 g,Yellow Mustard Hemmer Zero 200 g,https://images.rappi.com.br/products/2094355502-1561642700.png,seasonings,mustard,
Smart Spice Moedro Sea Salt 90g,Smart Spice Moedro Sea Salt 90g,https://images.rappi.com.br/products/2089953200-1530198696.png,seasonings,salt,
Enat 400 Cápsulas Mix 400 Ui Caja X 30 U,Enat 400 Cápsulas Mix 400 Ui Caja X 30 U,,vitamins and minerals,vitamins,
Mini Emporium SP Wrapped Emp,Mini Emporium SP Wrapped Emp (product price may vary by weight),,,,
Take 3 Pcs - Pasta Lasagna Estrela 1Kg,Pasta Lasagna Estrela 1Kg,https://images.rappi.com.br/products/2093433275-1550022744.png,rice grains and pasta,pasta,
Pitty - Setevidas Tour - Live - DVD,"With his latest album, “Setevidas”, Pitty went on a tour of the country. With a revamped show and repertoire that brought, in addition to the songs on the album, her greatest hits and some surprises, she dragged crowds wherever she went. Much of this tour is recorded on the DVD &quot;Tour Setevidas - Ao Vivo&quot;, released by Deck. The new work brings the full show recorded at Audio Club in July 2015, which was broadcast live by Multishow. In the repertoire of the presentation are the songs from the most recent album, such as &quot;Serpente&quot;, &quot;Um Leão&quot; and &quot;Boca Aberta&quot;, and successes of his career, among them &quot;Me Adora&quot;, &quot;Na Sua Estante&quot; and &quot;Mask&quot;. And yet, there is a documentary on the tour on the DVD, directed and filmed by Otavio Sousa, lasting almost an hour. He accompanied the singer and his band, formed by Martin Mendonça (guitar), Duda Machado (drums), Gui Almeida (bass) and Paulo Kishimoto (lap steel, moog and percussion), on trips, recording excerpts from the shows and behind the scenes images ! DVD strips: 1. Setevidas2. Anachronistic3. Brave New Chip4. Next Week5. Let It In6. Glass Ceiling7. Memories8. A Lion9. Wrists10. The Mass11. Only Now12. Calm Eye13. Open Mouth14. Little Death15. Love Me16. Equalize17. On Your Shelf18. Mask / Good Senso19. SnakeExtras: DocumentaryPhoto Gallery",https://images.rappi.com.br/products/2092748750-1540780726.png,television and video,television and video,
Dropps Halls Creamy,Dropps Halls Creamy,https://images.rappi.com.br/products/2095334103-1570715332961.jpg,snacks and confectionery,gumdrops and candy,
Tropical Silver Cup Cloth,Tropical Silver Cup Cloth,,,,
Nexium 20 Mg With 7 Tablets,Nexium 20 Mg With 7 Tablets,https://images.rappi.com.br/products/2093542275-1565807433.png,digestive health,antacids,
1/2 Chicken with Catupiry,Shredded chicken and catupiry,,meats,chicken and poultry,
NYBD Skinny High Waist Black Pants,NYBD Skinny High Waist Black Pants,https://images.rappi.com.br/products/2097348240-1583769061238.png,woman cloth,woman cloth,
Pantoprazole 20mg Generic Sandoz 14 Tablets,Pantoprazole 20mg Generic Sandoz 14 Tablets,https://images.rappi.com.br/products/2097299092-1583332569274.png,digestive health,antacids,
Johnson&#39;s Sandalwood Body Bar Soap 90 g,Johnson&#39;s Sandalwood Body Bar Soap 90 g. (Key Words: Bath / Personal Hygiene Products),https://images.rappi.com.br/products/2092889145-1579550231208.png,hygiene and care,shampoo and soap,
Choklers Petit Gateau 60 g,Choklers Petit Gateau 60 g,https://images.rappi.com.br/products/2097721388-1586196415647.png,snacks and confectionery,chocolates,
Pot 20cm Aa Rock Vitalle,Pot 20cm Aa Rock Vitalle,https://images.rappi.com.br/products/2093814571-1553881222.png,kitchen,kitchen,
Top 100 - Human Body,"In this incredible book, little ones will discover the most impressive facts about the fantastic human body!",https://images.rappi.com.br/products/2092723591-1540308864.png,paper books,paper books,
